Attribute Type,Type Description,Archtechture flag,visible,Important,required,Allow Multiple,code,Code label,Code Description
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
8.2.1  Perform Network Information Assurance (IA)/Computer Network Defense (CND) Services,,,,,,,,,
,,,,,,,,,
8.2.3 Regulate Information Dissemination,,,,,,,,,
8.8.17  Monitor Access Control,,,,,,,,,
,,,,,,,,,
8.9.3  Provide Environment Control Policy Enforcement Services,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
8.2.11 Provide Identity Management Services,,,,,,,,,
8.8.3 Manage Network Information Access for User Account,,,,,,,,,
8.8.5 Assign Roles and Privileges,,,,,,,,,
8.8.6 Create and Maintain Network User Account and Profile,,,,,,,,,
8.8.18 Delete User,,,,,,,,,
8.8.19 Request System Access,,,,,,,,,
8.8.22 Manage Local Information Access for User Account,,,,,,,,,
8.8.23 Create and Maintain Local User Account and Profile,,,,,,,,,
 ,,,,,,,,,
8.2.6 Provide Entity Authentication Services,,,,,,,,,
8.1.57 - Authorize Network Resource Request,,,,,,,,,
8.2.20  Authorize Data Access,,,,,,,,,
8.9.2  Provide Environment Control Policy Enforcement Decisions,,,,,,,,,
8.2.1  Perform Network Information Assurance (IA)/Computer Network Defense (CND) Services,,,,,,,,,
,,,,,,,,,
8.2.3 Regulate Information Dissemination,,,,,,,,,
8.8.17  Monitor Access Control,,,,,,,,,
,,,,,,,,,
8.9.3  Provide Environment Control Policy Enforcement Services,,,,,,,,,
8.2.68 Determine Network Security Requirements,,,,,,,,,
8.2.13  Implement National Security Agency (NSA) and/or National Institute of Standards and Technology (NIST) Public Key Cryptography,,,,,,,,,
8.2.15  Provide Cryptographic Services,,,,,,,,,
8.2.34  Generate Network Keys,,,,,,,,,
8.8.8  Manage Cryptographic Accounts,,,,,,,,,
8.2.33  Distribute and Enable Network Keys,,,,,,,,,
8.2.35  Manage Network Keys,,,,,,,,,
8.2.36 Order Network Keys,,,,,,,,,
8.2.18  Perform Registration Services,,,,,,,,,
8.2.19 Validate User Credentials,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
8.2.11 Provide Identity Management Services,,,,,,,,,
8.8.3 Manage Network Information Access for User Account,,,,,,,,,
8.8.5 Assign Roles and Privileges,,,,,,,,,
8.8.6 Create and Maintain Network User Account and Profile,,,,,,,,,
8.8.18 Delete User,,,,,,,,,
8.8.19 Request System Access,,,,,,,,,
8.8.22 Manage Local Information Access for User Account,,,,,,,,,
8.8.23 Create and Maintain Local User Account and Profile,,,,,,,,,
 ,,,,,,,,,
8.2.6 Provide Entity Authentication Services,,,,,,,,,
8.1.57 - Authorize Network Resource Request,,,,,,,,,
8.2.20  Authorize Data Access,,,,,,,,,
8.9.2  Provide Environment Control Policy Enforcement Decisions,,,,,,,,,
8.2.1  Perform Network Information Assurance (IA)/Computer Network Defense (CND) Services,,,,,,,,,
,,,,,,,,,
8.2.3 Regulate Information Dissemination,,,,,,,,,
8.8.17  Monitor Access Control,,,,,,,,,
,,,,,,,,,
8.9.3  Provide Environment Control Policy Enforcement Services,,,,,,,,,
8.2.68 Determine Network Security Requirements,,,,,,,,,
8.2.13  Implement National Security Agency (NSA) and/or National Institute of Standards and Technology (NIST) Public Key Cryptography,,,,,,,,,
8.2.15  Provide Cryptographic Services,,,,,,,,,
8.2.34  Generate Network Keys,,,,,,,,,
8.8.8  Manage Cryptographic Accounts,,,,,,,,,
8.2.33  Distribute and Enable Network Keys,,,,,,,,,
8.2.35  Manage Network Keys,,,,,,,,,
8.2.36 Order Network Keys,,,,,,,,,
8.2.18  Perform Registration Services,,,,,,,,,
8.2.19 Validate User Credentials,,,,,,,,,
,,,,,,,,,
"3.3 Provide Indications, Warnings, and Alerts - Group",,,,,,,,,
7.1.55  Manage Messaging Services,,,,,,,,,
3.3.13 Manage Alerts and Indications,,,,,,,,,
7.1.4  Send Messages on Timed Delivery Basis,,,,,,,,,
7.1.77 Coordinate Message Delivery,,,,,,,,,
8.1.11 Provide MessageServices,,,,,,,,,
8.5.32 Reroute Messages,,,,,,,,,
8.1.55 - Provide Subscription Services,,,,,,,,,
,,,,,,,,,
7.1.120 Communicate Information on the Secret Internet Protocol Router Network (SIPRnet),,,,,,,,,
7.1.121 Communicate Information on the Non-Classified Internet Protocol Router Network (NIPRnet),,,,,,,,,
7.1.122 Communicate Information on the Joint Worldwide Intelligence Communications System (JWICS) Network,,,,,,,,,
7.1.123 Communicate Information on the Coalition Mission Network,,,,,,,,,
8.2.22 Access Information at Multiple Levels of Security,,,,,,,,,
8.2.27 Manage Multiple Security Levels,,,,,,,,,
8.2.52 Manage Security Configuration,,,,,,,,,
8.2.1  Perform Network Information Assurance (IA)/Computer Network Defense (CND) Services,,,,,,,,,
,,,,,,,,,
8.2.3 Regulate Information Dissemination,,,,,,,,,
8.8.17  Monitor Access Control,,,,,,,,,
,,,,,,,,,
8.9.3  Provide Environment Control Policy Enforcement Services,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
3.4.12 Collect Performance Data,,,,,,,,,
3.4.18 Display Performance Data,,,,,,,,,
9.2.9 Record Real-Time System Performance and Condition Information,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
1.4.17  Determine Time to Sensor Availability,,,,,,,,,
1.4.18  Identify Elapsing Platform and Sensor Tasking,,,,,,,,,
1.1.20 Perform Signal Parametric Analysis,,,,,,,,,
1.4.1 Fuse Sensor Data,,,,,,,,,
1.4.6 Coordinate Sensor Employment with Operational Plans and Employment,,,,,,,,,
1.4.27 Reconfigure Netted Sensor Grid Dynamically,,,,,,,,,
1.4.32 Convert Geospatial Intelligence (GEOINT) Sensor Requests,,,,,,,,,
3.3.5 Generate Alert,,,,,,,,,
3.3.13 Manage Alerts and Indications,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Layer,,,,,,,,,
,,,,,,,,,
"3.4.3 Receive, Store and Maintain Geospatial Product Information",,,,,,,,,
14.1.2 Produce Imagery Intelligence (IMINT) Data,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
7.1.120 Communicate Information on the Secret Internet Protocol Router Network (SIPRnet),,,,,,,,,
7.1.121 Communicate Information on the Non-Classified Internet Protocol Router Network (NIPRnet),,,,,,,,,
