Attribute Type,Type Description,Archtechture flag,visible,Important,required,Allow Multiple,code,Code label,Code Description
2.2.3.4,,,Predict Space Environment ,,,,,,
2.2.4,,Exploit,,,,,,,
2.2.4.1,,,Determine Environmental Impacts ,,,,,,
2.2.4.2,,,Assess Environmental Effects ,,,,,,
2.2.4.3,,,Produce Environmental Decision Aids ,,,,,,
3,Force Application,,,,,,,,
3.1,Maneuver,,,,,,,,
3.1.1,,Maneuver to Engage (MTE),,,,,,,
3.1.1.1,,,Air (MTE) ,,,,,,
3.1.1.2,,,Space (MTE) ,,,,,,
3.1.1.3,,,Land (MTE) ,,,,,,
3.1.1.4,,,Maritime (MTE) ,,,,,,
3.1.1.5,,,Underground (MTE) ,,,,,,
3.1.1.6,,,Underwater (MTE),,,,,,
3.1.1.7,,,Cyberspace (MTE) ,,,,,,
3.1.2,,Maneuver to Insert (MTI),,,,,,,
3.1.2.1,,,Air (MTI),,,,,,
3.1.2.2,,,Space (MTI),,,,,,
3.1.2.3,,,Land (MTI),,,,,,
3.1.2.4,,,Maritime (MTI),,,,,,
3.1.2.5,,,Underground (MTI),,,,,,
3.1.2.6,,,Underwater (MTI),,,,,,
3.1.2.7,,,Cyberspace (MTI),,,,,,
3.1.3,,Maneuver to Influence (MTInfl),,,,,,,
3.1.3.1,,,Air (MTInfl),,,,,,
3.1.3.2,,,Space (MTInfl),,,,,,
3.1.3.3,,,Land (MTInfl),,,,,,
3.1.3.4,,,Maritime (MTInfl),,,,,,
3.1.3.5,,,Underground (MTInfl),,,,,,
3.1.3.6,,,Underwater (MTInfl),,,,,,
3.1.3.7,,,Cyberspace (MTInfl),,,,,,
3.1.4,,Maneuver to Secure (MTS),,,,,,,
3.1.4.1,,,Air (MTS),,,,,,
3.1.4.2,,,Space (MTS),,,,,,
3.1.4.3,,,Land (MTS),,,,,,
3.1.4.3.1,,,,Populations (MTSL),,,,,
3.1.4.3.2,,,,Infrastructure (MTSL),,,,,
3.1.4.3.3,,,,Resources (MTSL),,,,,
3.1.4.4,,,Maritime (MTS),,,,,,
3.1.4.5,,,Underground (MTS),,,,,,
3.1.4.6,,,Underwater (MTS),,,,,,
3.1.4.7,,,Cyberspace (MTS),,,,,,
3.2,Engagement,,,,,,, , 
3.2.1,,Kinetic Means,,,,,,, 
3.2.1.1,,,Fixed Target (EK),,,,,, 
3.2.1.1.1,,,,Surface (EKF),,,,, 
3.2.1.1.1.1,,,,,Point (EKFS),,,, 
3.2.1.1.1.1.1,,,,,,Hardened (EKFSP),,, 
3.2.1.1.1.1.2,,,,,,Soft (EKFSP),,, 
3.2.1.1.1.1.3,,,,,,"Chemical, Biological, Radiological and Nuclear (EKFSP)",,, 
3.2.1.1.1.2,,,,,Area (EKFS),,,, 
3.2.1.1.1.2.1,,,,,,Hardened (EKFSA),,, 
3.2.1.1.1.2.2,,,,,,Soft (EKFSA),,, 
3.2.1.1.2,,,,Underground (EKF),,,,, 
3.2.1.1.2.1,,,,,Hardened (EKFU),,,, 
3.2.1.1.2.2,,,,,"Chemical, Biological, Radiological and Nuclear (EKFU)",,,, 
3.2.1.1.3,,,,Underwater (EKF),,,,, 
3.2.1.1.3.1,,,,,Surf Zone (EKFU),,,, 
3.2.1.1.3.2,,,,,Very Shallow (EKFU),,,, 
3.2.1.1.3.3,,,,,Shallow (EKFU),,,, 
3.2.1.1.3.4,,,,,Deep Water (EKFU),,,, 
3.2.1.2,,,Stationary Target (EK),,,,,, 
3.2.1.2.1,,,,Surface (EKS),,,,, 
3.2.1.2.1.1,,,,,Point (EKSS),,,, 
3.2.1.2.1.1.1,,,,,,Hardened (EKSSP),,, 
3.2.1.2.1.1.2,,,,,,Soft (EKSSP),,, 
3.2.1.2.1.1.3,,,,,,"Chemical, Biological, Radiological and Nuclear (EKSSP)",,, 
3.2.1.2.1.2,,,,,Area (EKSS),,,, 
3.2.1.2.1.2.1,,,,,,Hardened (EKSSA),,, 
3.2.1.2.1.2.2,,,,,,Soft (EKSSA),,, 
3.2.1.2.2,,,,Underground (EKS),,,,, 
3.2.1.2.2.1,,,,,Sort (EKSU),,,, 
3.2.1.2.2.2,,,,,"Chemical, Biological, Radiological and Nuclear (EKSU)",,,, 
3.2.1.2.3,,,,Underwater (EKS),,,,, 
3.2.1.2.3.1,,,,,Surf Zone (EKSU),,,, 
3.2.1.2.3.2,,,,,Very Shallow (EKSU),,,, 
3.2.1.2.3.3,,,,,Shallow (EKSU),,,, 
3.2.1.2.3.4,,,,,Deep Water (EKSU),,,, 
3.2.1.3,,,Moving Targets (EK),,,,,, 
3.2.1.3.1,,,,Air (EKM),,,,, 
3.2.1.3.2,,,,Space (EKM),,,,, 
3.2.1.3.3,,,,Surface (EKM),,,,, 
3.2.1.3.3.1,,,,,Point (EKMS),,,, 
3.2.1.3.3.1.1,,,,,,Hardened (EKMSP),,, 
3.2.1.3.3.1.2,,,,,,Soft (EKMSP),,, 
3.2.1.3.3.1.3,,,,,,"Chemical, Biological, Radiological and Nuclear (EKMSP)",,, 
3.2.1.3.3.2,,,,,Area (EKMS),,,, 
3.2.1.3.3.2.1,,,,,,Hardened (EKMSA),,, 
3.2.1.3.3.2.2,,,,,,Soft (EKMSA),,, 
3.2.1.3.4,,,,Underground (EKM),,,,, 
3.2.1.3.4.1,,,,,Soft (EKMU),,,, 
3.2.1.3.4.2,,,,,"Chemical, Biological, Radiological and Nuclear (EKMU)",,,, 
3.2.1.3.5,,,,Underwater (EKM),,,,, 
3.2.1.3.5.1,,,,,Surf Zone (EKMU),,,, 
3.2.1.3.5.2,,,,,Very Shallow (EKMU),,,, 
3.2.1.3.5.3,,,,,Shallow (EKMU),,,, 
3.2.1.3.5.4,,,,,Deep Water (EKMU),,,, 
3.2.2,,Non-Kinetic Means,,,,,,, 
3.2.2.1,,,Fixed Target (ENK),,,,,, 
3.2.2.1.1,,,,Surface (ENKF),,,,, 
3.2.2.1.1.1,,,,,Point (ENKFS),,,, 
3.2.2.1.1.2,,,,,Area (ENKFS),,,, 
3.2.2.1.2,,,,Underground (ENKF),,,,, 
3.2.2.1.3,,,,Underwater (ENKF),,,,, 
