PRV,provided by
ASSIGN,assigned to
CONFORM,conforms to
SUPPORTS,supports
SUPBY,supported by
IMP,implemented by
INCLUDE,includes
INCIN,included in
REF,references
DEP,depends on
SUB,subject to
ACC,accessible by
PRV,provides access to
HOST,hosts
PRES,prescribes
RESPON,responsible for
SUBC,subcomponent of
COMP,component of
